epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.96939,6.00254,4.47507,4.25836,0,0,0,0,5.9611,4.06314,4.16011,3.334e-05,3.334e-05,3.334e-05
2,4.14849,5.92811,4.34145,4.28268,0,0,0,0,5.96124,4.06391,4.16147,8.05995e-05,8.05995e-05,8.05995e-05
3,5.20944,5.43619,4.19917,4.25531,0,0,0,0,5.96171,4.06414,4.16243,0.000124558,0.000124558,0.000124558
4,6.36674,5.69662,4.24202,4.22153,0,0,0,0,5.96171,4.06414,4.16384,0.000165216,0.000165216,0.000165216
5,7.49323,5.64414,4.13638,4.18992,0,0,0,0,5.96421,4.06721,4.16574,0.000202574,0.000202574,0.000202574
6,8.5353,5.19668,3.95906,4.23801,0,0,0,0,5.96483,4.06962,4.16639,0.000236631,0.000236631,0.000236631
7,9.55512,5.37667,3.828,4.11468,0,0,0,0,5.9652,4.07454,4.17041,0.000267387,0.000267387,0.000267387
8,10.6605,5.67935,3.78299,4.01552,0,0,0,0,5.96595,4.07778,4.17281,0.000294842,0.000294842,0.000294842
9,11.7588,5.34293,3.61913,4.02677,0,0,0,0,5.96697,4.09005,4.17948,0.000318997,0.000318997,0.000318997
10,12.7998,5.56353,3.67598,3.88952,0,0,0,0,5.96954,4.09774,4.18342,0.000339851,0.000339851,0.000339851
11,13.9987,4.87166,3.21957,3.84574,0.00025,0.00136,0.00013,3e-05,5.97209,4.11842,4.19666,0.000357405,0.000357405,0.000357405
12,15.1334,4.75119,3.11676,3.79099,0.00025,0.00136,0.00013,3e-05,5.97456,4.13157,4.20651,0.000371658,0.000371658,0.000371658
13,16.3136,4.47072,3.02784,3.83284,0.00025,0.00136,0.00013,3e-05,5.979,4.11204,4.22858,0.00038261,0.00038261,0.00038261
14,17.4267,4.7408,3.01525,3.63182,0.00026,0.00136,0.00013,3e-05,5.98098,4.12784,4.23747,0.000390261,0.000390261,0.000390261
15,18.511,4.46325,3.0065,3.70482,0.00026,0.00136,0.00013,3e-05,5.98542,4.16115,4.26366,0.000394612,0.000394612,0.000394612
16,19.5895,4.40382,2.88142,3.57944,0.00026,0.00136,0.00013,3e-05,5.98925,4.18849,4.28131,0.000395662,0.000395662,0.000395662
17,20.6999,4.32463,2.89671,3.66887,0.00026,0.00136,0.00013,3e-05,5.99316,4.21371,4.30161,0.000393412,0.000393412,0.000393412
18,21.7677,4.41364,2.89082,3.49798,0.00026,0.00136,0.00013,3e-05,5.99431,4.22673,4.31258,0.000387861,0.000387861,0.000387861
19,22.8166,4.25029,2.70012,3.4543,0.00026,0.00136,0.00013,3e-05,5.99794,4.25482,4.33043,0.000379009,0.000379009,0.000379009
20,23.8997,4.36013,2.70458,3.32086,0.00026,0.00136,0.00013,3e-05,5.99802,4.26561,4.33543,0.000366857,0.000366857,0.000366857
21,46.8408,3.82634,2.57626,3.36764,0.00026,0.00136,0.00013,3e-05,5.99912,4.27717,4.34278,0.000351404,0.000351404,0.000351404
22,47.807,3.84228,2.61569,3.32146,0.00026,0.00136,0.00013,3e-05,5.9999,4.28702,4.34581,0.00033265,0.00033265,0.00033265
23,48.7828,3.89402,2.60952,3.23693,0.00026,0.00136,0.00013,3e-05,6.00208,4.30759,4.3578,0.000310595,0.000310595,0.000310595
24,49.7475,3.84889,2.70114,3.24527,0.00026,0.00136,0.00013,3e-05,6.00488,4.34096,4.37702,0.00028524,0.00028524,0.00028524
25,50.7236,3.74604,2.56834,3.25859,0.00026,0.00136,0.00013,3e-05,6.00893,4.37451,4.39851,0.000256585,0.000256585,0.000256585
26,51.712,3.65302,2.56317,3.24717,0.00026,0.00136,0.00013,3e-05,6.01111,4.39367,4.41133,0.000224628,0.000224628,0.000224628
27,52.714,3.94329,2.59839,3.06721,0.00026,0.00136,0.00013,3e-05,6.01107,4.39332,4.4093,0.000189371,0.000189371,0.000189371
28,53.6933,3.75333,2.40499,2.98731,0.00026,0.00136,0.00013,3e-05,6.01061,4.38147,4.40046,0.000150813,0.000150813,0.000150813
29,54.6486,3.71384,2.4073,3.07378,0.00026,0.00136,0.00013,3e-05,6.01061,4.38147,4.40046,0.000108955,0.000108955,0.000108955
30,55.6222,3.76835,2.52186,3.06523,0.00026,0.00136,0.00013,3e-05,6.00423,4.33507,4.36487,6.37961e-05,6.37961e-05,6.37961e-05
